mat,error,timeElapsed.toc...timeElapsed.tic,sum.memory.bytes.,.Platform.OS.type
ex15.mtx,7.95E-07,0.089,NA,unix
cfd1.mtx,3.08E-12,31.248,1443268248,unix
shallowwater.mtx,2.28E-16,1.335,111490640,unix
cfd2.mtx,6.39E-12,89.733,2843954560,unix
parabolicfem.mtx,3.17E-12,14.606,1532297360,unix
apache2.mtx,5.99E-11,339.151,6689608032,unix
G3circuit.mtx,8.01E-12,372.839,7368191456,unix"ex15.mtx",7.94505946390561e-07,0.0500000000000003,NA,"windows"
"cfd1.mtx",3.0750142078702e-12,37.41,NA,"windows"
"shallowwater.mtx",2.27906620835074e-16,1.31,NA,"windows"
"cfd2.mtx",6.39115612845888e-12,113.95,NA,"windows"
"parabolicfem.mtx",3.17173522126207e-12,18.92,NA,"windows"
