Name,Rows,Columns,NNZ,relative_error,sec,ms,O.S
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ex15,6867,6867,98671,1.203950706270594e-06,0,78110,Windows
shallow_water,81920,81920,327680,2.543293345746488e-16,3,854799,Windows
cfd1,70656,70656,1828364,4.9449706222976226e-14,94,751367,Windows
cfd2,123440,123440,3087898,5.146603872156133e-13,319,523019,Windows
apache2,715176,715176,4817870,1.1065227972057186e-11,1364,668147,Windows
parabolic_fem,525825,525825,3674625,8.309150478273468e-13,45,348767,Windows
G3_circuit,1585478,1585478,7660826,8.757964866840445e-13,1046,246903,Windows
ex15,6867,6867,98671,1.203950706270594e-06,0,66063,Windows
G3_circuit,1585478,1585478,7660826,8.757964866840445e-13,1278,444259,Windows
