# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        2.289        8.805
       0.021        0.000        7.316      142.523
       0.046        0.000       20.359      177.031
       0.065        0.000       22.367      177.031
       0.083        0.000       25.367      177.219
       0.102        0.000       30.020      177.219
       0.120        0.000       30.586      177.469
       0.139        0.000       32.441      177.969
       0.158        0.000       36.504      177.969
       0.176        0.000       39.598      178.062
       0.195        0.000       57.395      191.668
       0.213        0.000       58.680      210.633
       0.232        0.000       62.637      210.891
       0.251        0.000       75.910      362.527
       0.269        0.000       78.953      362.527
       0.288        0.000       78.953      362.527
       0.307        0.000       78.953      362.527
       0.325        0.000       78.953      362.527
       0.343        0.000       80.746      362.527
       0.362        0.000       81.961      363.527
       0.381        0.000       81.961      363.527
       0.399        0.000       84.988      363.527
       0.418        0.000       85.738      363.527
       0.436        0.000       85.738      363.527
       0.455        0.000       86.652      363.527
       0.474        0.000       86.652      363.527
       0.492        0.000       86.652      363.527
       0.511        0.000       86.652      363.527
       0.530        0.000       87.859      363.527
       0.548        0.000       87.859      363.527
       0.567        0.000       87.859      363.527
       0.585        0.000       89.035      363.527
       0.604        0.000       89.035      363.527
       0.622        0.000       89.746      363.527
       0.641        0.000       89.746      363.527
       0.660        0.000       89.746      363.527
       0.678        0.000       89.746      363.527
       0.697        0.000       89.746      363.527
       0.715        0.000       89.746      363.527
       0.734        0.000       90.988      363.527
       0.753        0.000       93.922      363.527
       0.771        0.000       93.922      363.527
       0.790        0.000       93.922      363.527
       0.809        0.000       95.035      363.527
       0.827        0.000      108.082      440.027
       0.846        0.000      112.047      527.227
       0.869        0.000      115.855      605.934
       0.888        0.000      116.367      605.934
       0.906        0.000      117.398      605.934
       0.925        0.000      118.430      605.934
       0.944        0.000      120.234      605.934
       0.962        0.000      125.246      606.242
       0.981        0.000      127.480      605.988
       1.004        0.000      128.145      605.988
       1.023        0.000      128.219      605.988
       1.042        0.000      128.746      605.988
       1.060        0.000      128.578      605.988
       1.079        0.000      128.945      605.988
       1.097        0.000      128.781      605.988
       1.116        0.000      128.840      605.988
       1.134        0.000      128.961      605.988
       1.153        0.000      129.078      605.988
       1.172        0.000      129.137      605.988
       1.190        0.000      129.203      605.988
       1.209        0.000      129.309      605.988
       1.227        0.000      129.379      605.988
       1.246        0.000      129.379      605.988
       1.264        0.000      129.770      606.777
       1.283        0.000      131.418      609.848
       1.302        0.000      131.418      609.848
       1.320        0.000      132.859      609.848
       1.339        0.000      144.848      640.203
       1.358        0.000      153.570      864.945
       1.381        0.000      159.801      872.949
       1.402        0.000      165.766      872.949
       1.425        0.000      170.918      872.949
       1.446        0.000      177.363      872.949
       1.468        0.000      180.973      872.949
       1.489        0.000      185.645      874.949
       1.509        0.000      189.746      874.949
       1.529        0.000      193.988      874.949
       1.549        0.000      198.578      874.949
       1.570        0.000      204.227      874.949
       1.593        0.000      209.559      874.949
       1.616        0.000      214.059      874.949
       1.638        0.000      219.133      874.949
       1.660        0.000      224.219      874.949
       1.678        0.000      227.559      874.949
       1.697        0.000      229.258      874.949
       1.715        0.000      232.598      874.949
       1.733        0.000      236.137      876.910
       1.752        0.000      238.418      877.109
       1.771        0.000      245.258     1241.270
       1.789        0.000      253.133     3526.336
       1.808        0.000      254.793     3526.336
       1.826        0.000      255.309     3526.336
       1.844        0.000      255.824     3526.336
       1.863        0.000      256.082     3526.336
       1.882        0.000      258.066     3916.359
       1.902        0.000      259.777     3916.410
       1.921        0.000      262.566     3917.695
       1.943        0.000      265.766     3917.723
       1.963        0.000      266.801     3982.742
       1.983        0.000      269.199     3983.973
       2.005        0.000      271.270     3986.508
       2.023        0.000      273.855     3987.109
       2.043        0.000      278.059     3989.074
       2.064        0.000      278.059     3989.074
       2.082        0.000      284.809     3991.555
