# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000        2.453        8.805
       0.021        0.000       20.438      177.031
       0.044        0.000       22.496      177.031
       0.066        0.000       25.383      177.219
       0.088        0.000       30.504      177.469
       0.110        0.000       31.504      177.969
       0.132        0.000       34.363      177.969
       0.153        0.000       39.605      178.062
       0.172        0.000       43.836      187.941
       0.190        0.000       57.645      191.781
       0.209        0.000       58.801      210.633
       0.228        0.000       63.488      211.320
       0.247        0.000       78.805      362.527
       0.265        0.000       78.805      362.527
       0.284        0.000       78.805      362.527
       0.303        0.000       78.805      362.527
       0.321        0.000       78.805      362.527
       0.340        0.000       80.543      362.527
       0.358        0.000       81.801      363.527
       0.377        0.000       84.758      363.527
       0.396        0.000       84.758      363.527
       0.415        0.000       85.578      363.527
       0.433        0.000       85.578      363.527
       0.452        0.000       86.512      363.527
       0.470        0.000       86.512      363.527
       0.489        0.000       86.512      363.527
       0.508        0.000       86.512      363.527
       0.526        0.000       87.691      363.527
       0.545        0.000       87.691      363.527
       0.564        0.000       87.691      363.527
       0.582        0.000       88.918      363.527
       0.601        0.000       88.918      363.527
       0.619        0.000       88.918      363.527
       0.638        0.000       89.609      363.527
       0.657        0.000       89.609      363.527
       0.675        0.000       89.609      363.527
       0.694        0.000       89.609      363.527
       0.712        0.000       89.609      363.527
       0.731        0.000       90.836      363.527
       0.749        0.000       93.656      363.527
       0.768        0.000       93.656      363.527
       0.786        0.000       93.656      363.527
       0.805        0.000       93.656      363.527
       0.824        0.000       94.773      363.527
       0.842        0.000      111.605      527.227
       0.864        0.000      115.293      606.477
       0.885        0.000      115.988      605.934
       0.903        0.000      117.273      605.934
       0.922        0.000      118.047      605.934
       0.941        0.000      119.336      605.934
       0.960        0.000      124.625      605.988
       0.978        0.000      125.680      605.988
       0.997        0.000      127.797      605.988
       1.016        0.000      128.180      605.988
       1.034        0.000      128.258      605.988
       1.053        0.000      128.531      605.988
       1.072        0.000      128.617      605.988
       1.090        0.000      128.730      605.988
       1.109        0.000      128.832      605.988
       1.127        0.000      128.887      605.988
       1.146        0.000      129.012      605.988
       1.164        0.000      129.117      605.988
       1.183        0.000      129.191      605.988
       1.201        0.000      129.246      605.988
       1.220        0.000      129.383      605.988
       1.238        0.000      129.453      605.988
       1.257        0.000      129.410      605.988
       1.275        0.000      129.816      606.777
       1.294        0.000      131.508      609.848
       1.312        0.000      131.508      609.848
       1.331        0.000      133.008      609.848
       1.350        0.000      144.863      640.203
       1.369        0.000      152.879      856.941
       1.390        0.000      160.887      872.949
       1.413        0.000      166.992      872.949
       1.436        0.000      172.145      872.949
       1.458        0.000      177.816      872.949
       1.480        0.000      182.973      872.949
       1.500        0.000      188.129      872.949
       1.522        0.000      195.090      874.949
       1.544        0.000      198.559      874.949
       1.564        0.000      203.727      874.949
       1.586        0.000      208.484      874.949
       1.608        0.000      213.418      874.949
       1.631        0.000      218.891      874.949
       1.653        0.000      221.656      874.949
       1.671        0.000      224.422      874.949
       1.690        0.000      227.762      874.949
       1.708        0.000      230.527      874.949
       1.727        0.000      233.750      876.406
       1.745        0.000      236.969      876.910
       1.764        0.000      243.637      991.141
       1.783        0.000      251.512     3331.324
       1.801        0.000      253.902     3526.336
       1.820        0.000      254.992     3526.336
       1.839        0.000      255.508     3526.336
       1.857        0.000      256.023     3526.336
       1.876        0.000      258.562     3852.359
       1.896        0.000      259.750     3916.387
       1.915        0.000      261.684     3917.695
       1.936        0.000      264.902     3917.695
       1.955        0.000      266.090     3982.742
       1.976        0.000      269.125     3984.977
       1.999        0.000      270.148     3986.508
       2.017        0.000      273.492     3987.281
       2.036        0.000      277.586     3989.074
