# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.004        0.000       11.191      188.277
       0.027        0.000       12.539      189.191
       0.052        0.000       13.785      190.270
       0.075        0.000       14.766      191.383
       0.103        0.000       15.473      192.023
       0.124        0.000       16.887      193.523
       0.144        0.000       19.434      195.520
       0.162        0.000       21.500      197.691
       0.181        0.000       22.816      198.629
       0.199        0.000       24.801      202.836
       0.218        0.000       26.914      203.629
       0.236        0.000       28.852      208.805
       0.255        0.000       30.051      210.582
       0.273        0.000       31.602      212.402
       0.292        0.000       32.383      256.207
       0.310        0.000       34.922      381.102
       0.338        0.000       35.574      382.305
       0.368        0.000       38.645      386.113
       0.401        0.000       40.250      387.234
       0.427        0.000       41.539      390.621
       0.446        0.000       41.895      391.000
       0.465        0.000       42.410      391.379
       0.484        0.000       42.664      391.758
       0.503        0.000       43.023      392.008
       0.522        0.000       43.746      401.992
       0.541        0.000       44.648      402.652
       0.559        0.000       46.180      404.828
       0.578        0.000       50.367      411.746
       0.597        0.000       56.969      417.508
       0.616        0.000       54.211      448.008
       0.639        0.000       54.230      429.410
       0.663        0.000       52.473      427.652
       0.687        0.000        0.645        4.402
