# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000       12.781      157.441
       0.024        0.000       15.715      192.023
       0.047        0.000       19.699      195.520
       0.074        0.000       23.422      199.055
       0.098        0.000       27.574      208.398
       0.121        0.000       31.297      211.625
       0.139        0.000       35.387      349.102
       0.159        0.000       39.047      386.363
       0.180        0.000       42.398      391.012
       0.201        0.000       43.156      391.664
       0.222        0.000       44.852      402.652
       0.245        0.000       48.410      422.500
       0.267        0.000       51.246      422.801
       0.286        0.000       54.340      422.957
       0.304        0.000       57.434      422.957
       0.323        0.000       60.527      422.957
       0.341        0.000       63.363      424.965
       0.359        0.000       66.859      453.793
       0.378        0.000       71.633      453.254
       0.397        0.000       75.605      453.332
       0.415        0.000       79.523      453.312
       0.434        0.000       83.844      454.199
       0.452        0.000       86.816      452.508
       0.471        0.000       92.457      453.926
       0.489        0.000       95.805      458.297
       0.508        0.000      114.656      479.656
       0.526        0.000      151.523      521.715
       0.545        0.000      148.629      536.484
       0.563        0.000      173.895      555.484
       0.581        0.000      199.676      574.734
       0.600        0.000      224.684      593.734
       0.619        0.000      250.207      612.734
       0.637        0.000      274.957      660.273
       0.656        0.000      299.965      680.273
       0.674        0.000      325.230      700.523
       0.693        0.000      351.012      721.273
       0.712        0.000      376.277      741.773
       0.730        0.000      401.801      762.023
       0.748        0.000      426.809      810.062
       0.767        0.000      452.074      830.312
       0.786        0.000      477.340      850.812
       0.804        0.000      502.605      871.062
       0.823        0.000      528.129      891.312
       0.841        0.000      549.316      933.102
       0.860        0.000      562.207      933.102
       0.879        0.000      575.355      961.141
       0.897        0.000      588.246      961.141
       0.916        0.000      601.137      961.141
       0.934        0.000      615.316      989.180
       0.953        0.000      629.238      989.180
       0.971        0.000      654.246     1109.449
       0.990        0.000      689.797     1109.449
       1.010        0.000      691.473     1109.449
       1.028        0.000      693.277     1109.449
       1.047        0.000      693.277     1109.449
       1.065        0.000      693.277     1109.449
       1.084        0.000      693.277     1109.449
       1.102        0.000      719.977     1109.449
       1.121        0.000      612.469      997.297
