# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       12.629      157.441
       0.024        0.000       16.125      192.402
       0.053        0.000       20.176      196.070
       0.076        0.000       23.941      199.586
       0.102        0.000       28.957      208.879
       0.127        0.000       31.957      212.445
       0.145        0.000       35.656      381.352
       0.166        0.000       39.758      387.234
       0.188        0.000       42.742      391.414
       0.209        0.000       43.426      392.055
       0.230        0.000       45.195      402.879
       0.251        0.000       49.922      410.289
       0.274        0.000       53.801      414.047
       0.295        0.000       78.035      438.812
       0.314        0.000       97.941      458.324
       0.332        0.000       98.086      457.965
       0.351        0.000       64.301      431.496
       0.370        0.000       69.457      431.496
       0.389        0.000       70.488      431.496
       0.408        0.000       70.488      431.809
       0.428        0.000       72.551      433.602
       0.451        0.000       78.867      499.227
       0.479        0.000       81.703      499.227
       0.499        0.000       84.797      499.227
       0.522        0.000       87.875      499.227
       0.543        0.000       91.227      499.227
       0.566        0.000       94.062      499.227
       0.587        0.000       96.125      499.227
       0.608        0.000       98.961      499.227
       0.629        0.000      101.539      499.227
       0.650        0.000      109.016      499.227
       0.677        0.000      109.016      499.227
       0.701        0.000      110.305      499.227
       0.734        0.000      110.305      499.227
       0.755        0.000      110.305      499.227
       0.776        0.000      110.305      499.227
       0.798        0.000       69.246      440.730
       0.820        0.000       69.246      440.730
       0.843        0.000        0.719        4.402
