# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       23.754       12.273
       0.034        0.000       27.539       12.641
       0.062        0.000       28.699       12.723
       0.090        0.000       30.152       12.742
       0.118        0.000       30.609       12.773
       0.146        0.000       34.145       14.234
       0.174        0.000       35.918       15.848
       0.197        0.000       35.918       15.848
       0.229        0.000       35.918       15.848
       0.260        0.000       35.918       15.848
       0.291        0.000       35.918       15.848
       0.322        0.000       35.926       15.855
       0.354        0.000       35.965       15.902
       0.385        0.000       36.234       15.996
       0.416        0.000       39.004       16.410
       0.447        0.000       39.363       16.410
       0.479        0.000       39.289       16.410
       0.510        0.000       38.883       16.410
       0.542        0.000       39.297       16.410
       0.573        0.000       38.926       16.410
       0.605        0.000       39.164       16.410
       0.636        0.000       39.355       16.410
       0.667        0.000       38.902       16.395
       0.698        0.000       38.898       16.395
       0.730        0.000       40.691       27.355
       0.761        0.000       42.754       24.941
       0.792        0.000       44.750       64.109
       0.824        0.000       46.332       64.109
       0.855        0.000       47.543       64.109
       0.886        0.000       50.500       27.855
       0.917        0.000       51.965       28.320
       0.949        0.000       54.305       28.816
       0.980        0.000       56.820       29.172
       1.011        0.000       58.141       29.273
       1.040        0.000       60.531       29.770
       1.091        0.000       60.621       29.770
       1.122        0.000       61.855       30.695
       1.153        0.000       62.965       30.543
       1.185        0.000       63.121       30.715
       1.216        0.000       63.793       31.805
       1.247        0.000       63.992       32.070
       1.288        0.000       63.996       32.008
       1.319        0.000       63.887       31.898
       1.350        0.000       64.062       31.414
       1.382        0.000       64.656       32.605
       1.413        0.000       64.676       32.141
       1.444        0.000       64.902       32.750
       1.475        0.000       64.828       32.988
       1.507        0.000       65.148       33.121
       1.536        0.000       65.273       32.629
       1.559        0.000       65.164       33.070
       1.591        0.000       65.438       33.398
       1.622        0.000       65.957       33.395
       1.653        0.000       67.133       32.883
       1.684        0.000       68.270       33.523
       1.716        0.000       70.098       34.047
       1.747        0.000       71.984       35.004
       1.778        0.000       72.996       41.227
       1.809        0.000       75.094       36.410
       1.841        0.000       77.074       38.000
       1.872        0.000       77.105       38.023
       1.903        0.000       77.117       38.035
       1.934        0.000       77.137       38.055
       1.966        0.000       77.199       38.125
       1.997        0.000       78.125       38.844
       2.029        0.000       78.562       38.867
       2.056        0.000       78.906       38.988
       2.088        0.000       78.938       39.027
       2.119        0.000       78.938       39.027
       2.150        0.000       78.961       39.047
       2.182        0.000       78.973       39.055
       2.213        0.000       78.973       39.055
       2.244        0.000       79.004       39.094
       2.275        0.000       79.012       39.094
       2.306        0.000       79.031       39.113
       2.337        0.000       79.039       39.121
       2.369        0.000       79.059       39.141
       2.400        0.000       79.062       39.145
       2.431        0.000       79.184       39.277
       2.463        0.000       82.043       40.914
       2.502        0.000       89.258       46.719
       2.538        0.000       98.332       54.547
       2.574        0.000      103.199       57.035
       2.605        0.000      106.441       60.250
       2.636        0.000      109.062       62.406
       2.668        0.000      115.953       68.359
       2.699        0.000      121.676       78.133
       2.730        0.000      128.164       84.242
       2.761        0.000      132.703       88.766
       2.793        0.000      139.789       95.977
