# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000       28.449       12.543
       0.040        0.000       33.867       12.980
       0.071        0.000       38.875       16.242
       0.106        0.000       38.988       16.219
       0.137        0.000       39.316       16.219
       0.172        0.000       38.988       16.219
       0.203        0.000       39.172       16.219
       0.236        0.000       38.832       16.219
       0.269        0.000       39.102       16.219
       0.300        0.000       39.270       16.219
       0.333        0.000       38.863       16.203
       0.369        0.000       51.332       27.793
       0.417        0.000       60.633       30.121
       0.455        0.000       64.258       31.582
       0.493        0.000       66.305       33.793
       0.528        0.000       69.293       36.699
       0.566        0.000       71.066       38.789
       0.605        0.000       73.047       40.945
       0.645        0.000       73.496       41.457
       0.678        0.000       74.828       42.508
       0.716        0.000       76.078       44.059
       0.755        0.000       77.246       45.281
       0.790        0.000       78.348       45.988
       0.826        0.000       79.375       47.031
       0.866        0.000       79.914       47.828
       0.898        0.000       81.660       47.879
       0.932        0.000       89.500       51.027
       0.980        0.000       94.316       54.180
       1.017        0.000      101.242       58.715
       1.056        0.000      110.926       65.488
       1.096        0.000      116.836       71.023
       1.134        0.000      121.738       75.855
       1.173        0.000      128.859       81.621
       1.222        0.000      137.867       94.566
       1.286        0.000      152.199      108.727
       1.353        0.000      159.258      115.758
       1.394        0.000      166.172      122.746
       1.443        0.000      174.227      130.379
       1.482        0.000      181.426      139.051
       1.526        0.000      189.480      146.895
       1.563        0.000      191.383      148.047
       1.594        0.000      193.352      149.168
       1.626        0.000      196.445      151.113
       1.658        0.000      201.348      154.035
       1.690        0.000      205.102      156.000
       1.722        0.000      210.879      160.418
       1.753        0.000      215.977      163.223
       1.786        0.000      223.316      296.434
       1.819        0.000      226.727      312.828
       1.852        0.000      227.340      312.828
       1.884        0.000      227.621      312.828
       1.922        0.000      228.098      312.828
       1.953        0.000      228.488      312.828
       1.986        0.000      228.824      312.828
       2.023        0.000      231.762      313.879
       2.058        0.000      235.051      315.957
       2.100        0.000      238.273      316.953
       2.140        0.000      238.273      316.953
       2.170        0.000      238.273      316.953
       2.199        0.000      239.324      317.473
