# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       10.305        6.797
       0.028        0.000       12.039        7.836
       0.052        0.000       14.516        9.992
       0.075        0.000       16.051       11.422
       0.101        0.000       18.199       13.266
       0.124        0.000       19.914       14.570
       0.148        0.000       21.688       15.941
       0.171        0.000       23.668       17.621
       0.197        0.000       25.820       22.039
       0.221        0.000       28.344       24.355
       0.247        0.000       29.609       25.590
       0.283        0.000       32.238       27.801
       0.309        0.000       33.887       29.355
       0.333        0.000       36.086       30.832
       0.358        0.000       37.262       31.711
       0.382        0.000       38.348       32.883
       0.405        0.000       39.203       33.422
       0.429        0.000       39.742       33.934
       0.452        0.000       40.176       34.574
       0.475        0.000       41.156       35.422
       0.498        0.000       42.043       36.281
       0.521        0.000       43.598       37.801
       0.544        0.000       46.191       68.164
       0.568        0.000       49.301       68.465
       0.593        0.000       53.207       68.465
       0.620        0.000       56.773       68.465
       0.647        0.000       61.352       68.465
       0.671        0.000       65.605       68.465
       0.694        0.000       69.859       68.465
       0.717        0.000       74.113       68.465
       0.741        0.000       76.785       74.527
       0.765        0.000       79.949       74.527
       0.790        0.000       90.418      143.883
       0.812        0.000      102.793      143.699
       0.836        0.000       98.109      133.391
       0.863        0.000      104.289      138.152
       0.886        0.000      114.980      144.922
       0.911        0.000      124.184      145.480
       0.934        0.000      125.574      140.086
       0.958        0.000      137.738      165.504
       0.981        0.000      142.324      153.555
       1.003        0.000      145.660      140.844
       1.028        0.000      167.520      190.906
       1.051        0.000      201.734      220.191
       1.074        0.000      235.055      278.754
       1.098        0.000      269.953      278.754
       1.121        0.000      284.273      278.754
       1.146        0.000      259.883      311.797
       1.169        0.000      288.848      333.586
       1.191        0.000      309.234      349.113
       1.215        0.000      337.105      370.156
       1.240        0.000      366.875      392.449
       1.262        0.000      395.359      413.988
       1.284        0.000      424.801      436.285
       1.307        0.000      454.375      458.578
       1.329        0.000      483.164      480.117
       1.352        0.000      513.773      562.980
       1.375        0.000      546.949      589.531
       1.398        0.000      579.504      615.832
       1.421        0.000      612.398      642.383
       1.443        0.000      645.297      668.688
       1.466        0.000      678.410      695.238
       1.489        0.000      710.730      721.289
       1.511        0.000      742.809      747.090
       1.534        0.000      775.629      773.641
       1.557        0.000      808.629      858.504
       1.580        0.000      841.188      884.805
       1.602        0.000      874.914      911.859
       1.627        0.000      902.711      934.152
       1.652        0.000      934.492      959.703
       1.675        0.000      955.996      977.238
       1.700        0.000      987.922     1002.789
       1.723        0.000     1019.996     1028.590
       1.745        0.000     1053.109     1055.141
       1.768        0.000     1080.020     1076.934
