# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       11.891        7.477
       0.040        0.000       14.836       10.078
       0.068        0.000       16.926       12.203
       0.100        0.000       19.562       14.465
       0.116        0.000       20.438       15.051
       0.131        0.000       22.055       16.633
       0.147        0.000       23.418       17.406
       0.171        0.000       25.352       19.172
       0.203        0.000       28.762       24.695
       0.218        0.000       29.566       25.512
       0.234        0.000       30.164       25.754
       0.250        0.000       32.664       28.332
       0.271        0.000       34.094       29.367
       0.286        0.000       34.836       29.844
       0.302        0.000       36.316       31.035
       0.318        0.000       37.109       31.691
       0.333        0.000       37.867       32.168
       0.349        0.000       38.473       32.836
       0.371        0.000       39.238       33.629
       0.400        0.000       39.766       33.914
       0.419        0.000       40.133       34.496
       0.451        0.000       41.332       35.672
       0.471        0.000       42.035       36.402
       0.487        0.000       42.789       36.988
       0.518        0.000       46.094       68.582
       0.544        0.000       49.227       68.297
       0.568        0.000       52.926       68.297
       0.592        0.000       57.059       68.297
       0.608        0.000       61.703       68.297
       0.648        0.000       66.340       68.297
       0.672        0.000       70.594       68.297
       0.692        0.000       73.688       68.297
       0.717        0.000       76.969       74.359
       0.750        0.000       87.020      137.703
       0.772        0.000       97.926      159.754
       0.803        0.000       96.766      134.980
       0.819        0.000       99.059      135.027
       0.850        0.000      109.160      137.742
       0.872        0.000      124.031      160.789
       0.888        0.000      124.316      145.316
       0.903        0.000      134.344      165.359
       0.919        0.000      132.164      145.297
       0.935        0.000      140.395      165.340
       0.972        0.000      152.227      165.414
       0.988        0.000      144.855      161.461
       1.019        0.000      183.785      190.746
       1.035        0.000      206.121      220.027
       1.051        0.000      228.906      278.590
       1.087        0.000      284.152      278.590
       1.128        0.000      263.594      314.637
       1.154        0.000      298.512      340.938
       1.192        0.000      353.730      382.516
       1.233        0.000      396.723      414.828
       1.273        0.000      435.938      444.637
       1.314        0.000      478.777      476.949
       1.354        0.000      523.457      570.582
       1.394        0.000      568.930      607.152
       1.440        0.000      614.148      643.723
       1.471        0.000      647.371      670.277
       1.487        0.000      666.801      686.055
       1.502        0.000      686.609      701.836
       1.518        0.000      706.328      717.617
       1.555        0.000      743.402      747.676
       1.595        0.000      783.613      779.988
       1.635        0.000      832.891      878.129
       1.661        0.000      858.977      898.922
       1.693        0.000      893.883      927.227
       1.728        0.000      924.707      951.773
       1.768        0.000      963.070      982.836
       1.798        0.000      990.285     1004.625
       1.838        0.000     1027.984     1034.938
       1.879        0.000     1073.535     1071.508
       1.919        0.000     1093.750     1138.090
       1.959        0.000     1115.258     1138.090
       2.000        0.000     1138.172     1138.090
       2.040        0.000     1157.738     1196.652
       2.080        0.000     1172.387     1196.652
       2.121        0.000     1189.023     1196.652
       2.161        0.000     1206.672     1255.215
       2.189        0.000     1218.926     1255.215
       2.214        0.000     1231.754     1255.215
       2.254        0.000     1248.215     1255.215
       2.294        0.000     1258.668     1255.215
       2.321        0.000     1286.891     1513.711
       2.345        0.000     1320.051     1513.711
       2.374        0.000     1361.113     1513.711
       2.399        0.000     1387.816     1513.711
       2.427        0.000     1391.086     1513.711
       2.455        0.000     1394.406     1513.711
       2.479        0.000     1397.145     1513.711
       2.503        0.000     1399.738     1513.711
       2.527        0.000     1399.773     1513.711
       2.557        0.000     1399.773     1513.711
       2.578        0.000     1399.773     1513.711
       2.598        0.000     1399.773     1513.711
       2.618        0.000     1399.773     1513.711
       2.648        0.000     1432.957     1513.711
       2.676        0.000     1467.492     1513.711
       2.704        0.000     1502.539     1513.711
       2.739        0.000     1388.656     1396.586
       2.779        0.000     1194.109     1190.496
       2.819        0.000     1131.062     1127.121
       2.861        0.000     1075.254     1071.262
       2.901        0.000     1016.812     1012.648
