# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       11.223        7.371
       0.027        0.000       12.855        8.566
       0.053        0.000       15.258       10.605
       0.077        0.000       16.977       12.277
       0.101        0.000       19.445       14.266
       0.126        0.000       20.797       15.234
       0.149        0.000       23.215       17.309
       0.172        0.000       25.055       19.121
       0.194        0.000       27.426       22.965
       0.218        0.000       29.504       25.340
       0.246        0.000       31.219       26.676
       0.268        0.000       33.656       29.078
       0.294        0.000       35.141       30.012
       0.319        0.000       36.598       31.191
       0.343        0.000       38.242       32.891
       0.367        0.000       39.152       33.430
       0.390        0.000       39.531       33.977
       0.416        0.000       39.914       34.227
       0.438        0.000       40.586       34.773
       0.461        0.000       41.520       35.828
       0.483        0.000       42.453       36.734
       0.508        0.000       43.527       37.734
       0.533        0.000       44.453       38.797
       0.559        0.000       47.578       42.793
       0.586        0.000       62.879       57.746
       0.609        0.000       91.125       88.414
       0.632        0.000      106.996      101.582
       0.655        0.000       51.879       51.816
       0.679        0.000       65.848       68.496
       0.702        0.000       66.902       68.496
       0.730        0.000       67.445       68.496
       0.763        0.000       64.652       66.613
       0.792        0.000       70.633      123.918
       0.822        0.000       78.332      128.348
       0.848        0.000       84.391      128.473
       0.872        0.000       91.531      128.473
       0.896        0.000       97.969      128.473
       0.920        0.000      107.223      142.465
       0.943        0.000      108.023      142.465
       0.966        0.000      101.871      137.031
       0.991        0.000       70.273      130.355
       1.014        0.000       55.359       89.148
       1.042        0.000       55.035       88.840
       1.069        0.000        2.480        2.914
