# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       11.965        7.551
       0.028        0.000       14.305        9.684
       0.056        0.000       16.367       11.566
       0.084        0.000       18.719       13.762
       0.108        0.000       20.395       15.020
       0.140        0.000       23.438       17.383
       0.156        0.000       24.777       18.887
       0.171        0.000       26.984       22.480
       0.201        0.000       29.125       24.891
       0.221        0.000       29.949       25.703
       0.236        0.000       32.152       27.742
       0.252        0.000       33.293       28.852
       0.283        0.000       35.664       30.531
       0.299        0.000       36.504       31.121
       0.323        0.000       37.746       32.074
       0.354        0.000       39.098       33.348
       0.369        0.000       39.348       33.598
       0.385        0.000       39.801       33.961
       0.401        0.000       39.988       34.211
       0.425        0.000       40.605       34.988
       0.440        0.000       41.469       35.824
       0.456        0.000       41.941       36.141
       0.487        0.000       43.477       37.676
       0.503        0.000       43.477       37.676
       0.519        0.000       43.477       37.676
       0.544        0.000       44.512       38.738
       0.568        0.000       48.152       42.945
       0.596        0.000       67.906       63.957
       0.624        0.000       92.984       88.016
       0.648        0.000       90.062       84.523
       0.664        0.000       73.559       67.988
       0.695        0.000       65.898       68.562
       0.726        0.000       67.043       68.562
       0.766        0.000       67.461       68.562
       0.795        0.000       69.141       71.824
       0.835        0.000       75.797      128.293
       0.859        0.000       82.070      128.312
       0.883        0.000       88.500      128.418
       0.907        0.000       93.973      128.418
       0.931        0.000      107.117      142.410
       0.959        0.000      107.742      142.410
       0.983        0.000      107.809      142.410
       1.007        0.000       99.070      134.777
       1.031        0.000       64.730       99.469
       1.055        0.000       54.688       88.645
       1.083        0.000       18.176       12.047
