# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.004        0.000       20.160       41.211
       0.036        0.000       25.145       46.000
       0.072        0.000       32.367       53.105
       0.104        0.000       34.031       54.734
       0.140        0.000       34.973       55.707
       0.176        0.000       43.227       63.984
       0.212        0.000       48.887       69.645
       0.240        0.000       46.375       66.824
       0.282        0.000       47.559       69.602
       0.306        0.000       47.562       69.602
       0.334        0.000       47.871       69.953
       0.366        0.000       48.273       70.324
       0.402        0.000       49.809       71.855
       0.434        0.000       52.039       74.062
       0.457        0.000       52.984       75.000
       0.494        0.000       53.988       76.000
       0.538        0.000       57.977       79.945
       0.578        0.000       60.984       82.949
       0.626        0.000       66.004       87.844
       0.675        0.000       70.762       92.602
       0.703        0.000       76.777       98.805
       0.740        0.000       77.543       99.426
       0.776        0.000       77.516       99.426
       0.820        0.000       77.246       99.113
       0.851        0.000       77.250       99.113
       0.883        0.000       77.250       99.113
       0.914        0.000       77.254       99.113
       0.945        0.000       80.910      102.871
       0.976        0.000       86.703      108.695
       1.008        0.000       93.770      115.898
       1.039        0.000      102.086      124.414
       1.070        0.000      115.113      137.438
       1.101        0.000      108.082      129.875
       1.133        0.000      108.270      130.000
       1.164        0.000      108.270      130.000
       1.195        0.000      111.309      133.133
       1.226        0.000      109.848      131.633
       1.254        0.000      108.949      130.754
       1.290        0.000      109.090      130.938
       1.321        0.000      109.090      130.938
       1.352        0.000      110.609      132.441
       1.384        0.000      110.223      132.004
       1.415        0.000      114.582      136.574
       1.446        0.000      114.582      136.574
       1.477        0.000      114.582      136.574
       1.524        0.000      112.320      134.137
       1.556        0.000      116.688      138.520
       1.587        0.000      127.539      149.418
       1.618        0.000      136.438      158.309
       1.649        0.000      142.680      164.570
       1.681        0.000      151.504      173.461
       1.712        0.000      159.047      181.035
       1.743        0.000      165.789      187.738
       1.780        0.000      173.566      195.566
       1.820        0.000      181.047      203.078
       1.860        0.000      187.191      209.215
       1.896        0.000      184.637      206.656
       1.932        0.000      185.117      207.160
       1.964        0.000      185.270      207.285
       2.004        0.000      185.355      207.352
       2.040        0.000      185.367      207.352
       2.074        0.000      185.367      207.352
       2.110        0.000      185.367      207.352
       2.150        0.000      185.387      207.402
       2.186        0.000      185.777      207.715
       2.226        0.000      186.344      208.715
       2.262        0.000      186.633      208.715
       2.294        0.000      189.293      211.281
       2.326        0.000      195.539      218.387
       2.358        0.000      200.055      222.449
       2.406        0.000      200.289      222.637
       2.442        0.000      201.551      223.898
       2.478        0.000      201.934      224.094
       2.510        0.000      146.809      166.047
       2.566        0.000        2.465        2.906
