# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000       22.051       43.070
       0.030        0.000       30.734       51.523
       0.058        0.000       34.270       55.031
       0.086        0.000       45.371       66.285
       0.114        0.000       46.496       67.000
       0.143        0.000       47.730       69.824
       0.175        0.000       48.406       70.492
       0.203        0.000       52.344       74.426
       0.232        0.000       54.945       76.988
       0.263        0.000       60.652       82.695
       0.298        0.000       62.578       84.602
       0.327        0.000       62.848       84.855
       0.355        0.000       63.027       85.012
       0.391        0.000       63.652       85.617
       0.426        0.000       64.738       86.672
       0.456        0.000       71.012       92.855
       0.486        0.000       77.559       99.617
       0.518        0.000       77.844       99.684
       0.551        0.000       77.816       99.684
       0.588        0.000       77.547       99.367
       0.624        0.000       77.547       99.367
       0.658        0.000       77.547       99.367
       0.687        0.000       79.492      101.309
       0.715        0.000       91.387      113.395
       0.743        0.000      100.516      122.539
       0.771        0.000      111.523      133.871
       0.799        0.000      110.895      133.246
       0.828        0.000      112.723      134.574
       0.856        0.000      112.785      134.574
       0.885        0.000      111.938      133.762
       0.915        0.000      113.516      135.391
       0.943        0.000      112.496      134.324
       0.972        0.000      114.234      136.016
       1.000        0.000      114.652      136.453
       1.031        0.000      114.934      136.828
       1.059        0.000      115.574      137.391
       1.089        0.000      115.574      137.391
       1.121        0.000      116.512      138.391
       1.149        0.000      124.625      146.531
       1.178        0.000      135.418      157.367
       1.206        0.000      146.441      168.387
       1.234        0.000      157.379      179.410
       1.261        0.000      167.281      189.305
       1.289        0.000      176.488      198.574
       1.316        0.000      185.430      207.527
       1.344        0.000      185.789      207.719
       1.373        0.000      186.418      208.344
       1.402        0.000      186.559      208.469
       1.429        0.000      186.660      208.570
       1.459        0.000      186.660      208.570
       1.493        0.000      186.812      208.758
       1.530        0.000      187.535      209.484
       1.563        0.000      187.637      209.547
       1.608        0.000      188.215      212.867
       1.635        0.000      188.652      212.867
       1.663        0.000      189.152      212.867
       1.690        0.000      189.465      212.867
       1.717        0.000      189.965      212.867
       1.745        0.000      190.402      212.867
       1.772        0.000      190.715      212.867
       1.801        0.000      200.582      225.508
       1.829        0.000      211.340      235.285
       1.858        0.000      212.121      235.285
       1.889        0.000      226.027      263.883
       1.917        0.000      240.738      263.883
       1.944        0.000      240.789      263.883
       1.973        0.000      240.812      263.883
       2.001        0.000      240.922      263.883
       2.030        0.000      241.051      263.883
       2.060        0.000      241.207      263.883
       2.090        0.000      241.320      263.883
       2.120        0.000      241.320      263.883
       2.150        0.000      241.320      263.883
       2.179        0.000      241.320      263.883
       2.208        0.000      241.320      263.883
       2.237        0.000      241.320      263.883
       2.269        0.000      241.320      263.883
       2.298        0.000      241.320      263.883
       2.325        0.000      241.320      263.883
       2.353        0.000      241.320      263.883
       2.381        0.000      241.320      263.883
       2.411        0.000      241.320      263.883
       2.438        0.000      241.320      263.883
       2.467        0.000      241.320      263.883
       2.496        0.000      241.320      263.883
       2.526        0.000      241.320      263.883
       2.556        0.000      241.320      263.883
       2.585        0.000      241.320      263.883
       2.614        0.000      241.320      263.883
       2.641        0.000      241.320      263.883
       2.670        0.000      241.320      263.883
       2.697        0.000      241.320      263.883
       2.725        0.000      241.320      263.883
       2.752        0.000      241.320      263.883
       2.781        0.000      241.320      263.883
       2.809        0.000      241.320      263.883
       2.837        0.000      241.320      263.883
       2.865        0.000      239.102      277.770
       2.894        0.000      254.957      277.266
       2.924        0.000      254.957      277.266
       2.954        0.000      254.957      277.266
       2.985        0.000      283.637      306.578
       3.018        0.000      293.832      316.719
       3.047        0.000      293.832      316.719
       3.077        0.000      265.879      288.543
       3.111        0.000      255.031      277.648
       3.140        0.000      256.352      279.027
       3.170        0.000      256.355      279.031
       3.205        0.000      256.453      279.715
       3.238        0.000      245.543      266.746
       3.276        0.000        4.559        3.562
