# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.004        0.000       22.453       43.391
       0.032        0.000       31.152       51.906
       0.052        0.000       33.082       53.848
       0.092        0.000       44.469       65.227
       0.123        0.000       46.488       66.941
       0.167        0.000       47.980       70.074
       0.194        0.000       49.977       72.035
       0.225        0.000       53.047       75.113
       0.257        0.000       58.121       80.125
       0.290        0.000       63.434       85.352
       0.334        0.000       68.457       90.402
       0.365        0.000       75.633       97.727
       0.401        0.000       77.379       99.234
       0.432        0.000       77.379       99.234
       0.464        0.000       77.379       99.234
       0.503        0.000       77.383       99.234
       0.534        0.000       77.387       99.234
       0.565        0.000       79.840      102.113
       0.598        0.000       85.398      107.371
       0.634        0.000       91.832      114.012
       0.669        0.000      101.344      123.656
       0.701        0.000      111.629      133.988
       0.732        0.000      108.215      130.074
       0.763        0.000      108.430      130.180
       0.794        0.000      113.047      134.938
       0.826        0.000      108.430      130.180
       0.857        0.000      110.469      132.434
       0.888        0.000      109.387      131.309
       0.919        0.000      110.836      132.684
       0.951        0.000      110.609      132.434
       0.982        0.000      114.742      136.758
       1.013        0.000      114.742      136.758
       1.044        0.000      112.480      134.320
       1.075        0.000      120.277      142.148
       1.107        0.000      131.164      153.043
       1.146        0.000      139.934      161.809
       1.166        0.000      146.953      168.887
       1.198        0.000      159.328      181.281
       1.229        0.000      171.590      193.617
       1.260        0.000      180.906      202.949
       1.291        0.000      184.766      206.773
       1.322        0.000      185.301      207.340
       1.354        0.000      185.438      207.465
       1.385        0.000      185.508      207.531
       1.416        0.000      185.508      207.531
       1.450        0.000      185.508      207.531
       1.482        0.000      185.906      207.898
       1.518        0.000      186.020      211.215
       1.566        0.000      186.691      211.215
       1.602        0.000      187.004      211.215
       1.633        0.000      187.504      211.215
       1.669        0.000      188.004      211.215
       1.693        0.000      188.441      211.215
       1.724        0.000      188.941      211.215
       1.751        0.000      196.473      219.543
       1.786        0.000      209.641      233.801
       1.818        0.000      210.422      233.801
       1.849        0.000      211.508      235.371
       1.880        0.000      239.039      262.406
       1.911        0.000      239.090      262.406
       1.943        0.000      239.113      262.406
       1.974        0.000      239.238      262.406
       2.005        0.000      239.457      262.406
       2.036        0.000      239.570      262.406
       2.068        0.000      239.621      262.406
       2.099        0.000      239.621      262.406
       2.127        0.000      239.621      262.406
       2.151        0.000      239.621      262.406
       2.182        0.000      239.621      262.406
       2.214        0.000      239.621      262.406
       2.245        0.000      239.621      262.406
       2.276        0.000      239.621      262.406
       2.307        0.000      239.621      262.406
       2.335        0.000      239.621      262.406
       2.366        0.000      239.621      262.406
       2.398        0.000      239.621      262.406
       2.429        0.000      239.621      262.406
       2.460        0.000      239.621      262.406
       2.491        0.000      239.621      262.406
       2.523        0.000      239.621      262.406
       2.554        0.000      239.621      262.406
       2.585        0.000      239.621      262.406
       2.614        0.000      239.621      262.406
       2.642        0.000      239.621      262.406
       2.666        0.000      239.621      262.406
       2.697        0.000      239.621      262.406
       2.728        0.000      239.621      262.406
       2.759        0.000      239.621      262.406
       2.791        0.000      239.621      262.406
       2.822        0.000      250.703      276.301
       2.853        0.000      253.430      276.047
       2.884        0.000      253.430      276.047
       2.916        0.000      253.430      276.047
       2.947        0.000      292.305      315.496
       2.978        0.000      292.305      315.496
       3.009        0.000      292.305      315.496
       3.041        0.000      273.082      304.605
       3.072        0.000      253.820      276.895
       3.103        0.000      254.848      277.656
       3.137        0.000      254.848      277.656
       3.173        0.000      262.258      285.426
       3.217        0.000       17.957       14.293
